code,date,name,lon,lat,row,col,cover_rate,comment
1A267490,2021-02-01,淮安林科考站,78.34456858781364,21.020646520552198,2,618,32,"张桂珍负责,地址与联系方式: 江苏省瑞县清河惠州街h座 272096; na76@example.com; 13930529946"
1A15008,2021-02-01,沈阳建平科考站,71.83881175240343,37.210014931885816,3,67,68,"吴峰负责,地址与联系方式: 宁夏回族自治区长沙市合川杨路C座 342139; gang61@example.net; 15879989657"
1A245833,2021-02-01,合山兵科考站,76.34985415467834,27.763244001054403,3,394,80,"朱倩负责,地址与联系方式: 四川省宁县东丽赵路B座 192856; weifan@example.com; 13314105888"
1A242036,2021-02-01,上海东科考站,75.89286090580451,29.173939599526097,5,347,79,"易宇负责,地址与联系方式: 河北省涛市白云李路K座 867941; tao59@example.com; 13833347269"
1A245388,2021-02-01,拉萨辉科考站,76.02963576794063,28.918199276405645,6,356,75,"张玉华负责,地址与联系方式: 广西壮族自治区杰县江北杭州路H座 333774; fangshen@example.org; 13407006591"
1A323560,2021-02-01,拉萨瑞科考站,79.05346549478011,18.48264083914699,6,702,9,"白洋负责,地址与联系方式: 贵州省桂兰县长寿龙路u座 863961; minlong@example.net; 13526624609"
1A14991,2021-02-01,淮安鑫科考站,71.99591566791223,37.237089877962575,7,68,65,"邓海燕负责,地址与联系方式: 辽宁省武汉县安次张路a座 222357; xiuying30@example.net; 13550935939"
1A241445,2021-02-01,宁德浩科考站,75.61598856764473,30.147546986023258,8,315,79,"郑春梅负责,地址与联系方式: 山东省杭州市沈北新呼和浩特街K座 658972; caixiuying@example.com; 15541978214"
1A241852,2021-02-01,东莞建科考站,75.84248506147381,29.588040055173536,8,334,77,"郭丹负责,地址与联系方式: 河北省萍市蓟州陈街E座 403799; chaowan@example.net; 15797989592"
1A245362,2021-02-01,济南旭科考站,76.14186449605869,28.918622661046356,9,357,72,"刘婷负责,地址与联系方式: 西藏自治区龙市新城胡街D座 800542; chaoyang@example.net; 18767549087"
1A265768,2021-02-01,合山利科考站,78.05994756730567,23.044786363900613,9,553,74,"孟涛负责,地址与联系方式: 河北省东莞县东丽彭路A座 773666; nashi@example.net; 18579175693"
