code,date,name,lon,lat,row,col,cover_rate,comment
1A241983,2021-02-01,昆明洋科考站,75.67855158843241,29.240982597430342,0,343,75,"颜文负责,地址与联系方式: 河北省潮州县上街南京路p座 754269; weilai@example.net; 15209238159"
1A241689,2021-02-01,合肥欢科考站,75.55744939992809,29.732110668939335,2,327,59,"王秀云负责,地址与联系方式: 重庆市志强县长寿贾街X座 230250; yanhan@example.org; 14765629671"
1A262132,2021-02-01,淮安超科考站,77.48282213297816,24.32559561091332,3,509,44,"仝欣负责,地址与联系方式: 青海省沈阳县西夏孙街B座 346112; zzhang@example.org; 18095817556"
1A245790,2021-02-01,汕尾波科考站,76.29665013218447,28.010216756229102,4,386,73,"邬伟负责,地址与联系方式: 上海市长沙县白云黄街I座 836321; tiantao@example.net; 15688474405"
1A808,2021-02-01,香港涛科考站,71.3049766018186,38.463178934805164,9,25,44,"杨慧负责,地址与联系方式: 海南省建平县徐汇李街H座 528046; luojun@example.net; 13081327948"
1A246928,2021-02-01,南昌利科考站,76.9650225833609,26.95384752645849,12,424,78,"钟红负责,地址与联系方式: 云南省瑞市蓟州祝街r座 933242; izhong@example.net; 15570936161"
1A1479,2021-02-01,沈阳辉科考站,71.98161244961305,37.75379575949394,14,53,59,"林玲负责,地址与联系方式: 广东省兴安盟市永川赵路v座 950938; wanchao@example.com; 18577146479"
1A240894,2021-02-01,潜江想科考站,75.48715172110786,31.004765995669857,14,288,50,"刘静负责,地址与联系方式: 山西省勇市上街辽阳路H座 117212; qtao@example.com; 15619817712"
1A247653,2021-02-01,哈尔滨波科考站,77.12918690913472,26.900625770533992,16,427,39,"蒲莹负责,地址与联系方式: 宁夏回族自治区桂芳市海陵六安街r座 888536; natao@example.net; 15277343998"
1A268202,2021-02-01,潜江斌科考站,78.72444876429181,21.423692348906087,16,608,70,"盛丽华负责,地址与联系方式: 重庆市欣市高明关岭街p座 106363; xiulan64@example.net; 18518362272"
1A246486,2021-02-01,兰州兵科考站,77.13449386454732,27.525128512753003,22,408,79,"吴辉负责,地址与联系方式: 安徽省淑华市海陵郝街S座 784673; xiulanzheng@example.org; 18768634642"
1A261769,2021-02-01,长沙兵科考站,78.22423568231483,24.57425719364183,26,507,67,"方芳负责,地址与联系方式: 江西省北京市上街长春路k座 985570; caofang@example.net; 13811656632"
1A241071,2021-02-01,长春波科考站,76.15112712196574,30.712066471359133,28,303,58,"李金凤负责,地址与联系方式: 重庆市合肥市六枝特乌鲁木齐路W座 529811; leifeng@example.net; 18542976050"
1A248206,2021-02-01,六盘水欢科考站,78.08463342223573,26.663873935259694,40,442,24,"卢磊负责,地址与联系方式: 河北省张家港县普陀张路i座 101463; pengxia@example.com; 13800324165"
1A3362,2021-02-01,乌鲁木齐彬科考站,72.50013296031199,38.90442708075014,42,26,67,"周琳负责,地址与联系方式: 浙江省淑华县安次马鞍山街k座 707711; pingpan@example.com; 14724209245"
1A258763,2021-02-01,乌鲁木齐波科考站,78.54105446457038,25.435674916932793,42,483,69,"汤莹负责,地址与联系方式: 辽宁省太原县怀柔李街g座 990753; liyu@example.org; 18517463905"
1A3945,2021-02-01,马鞍山强科考站,72.73558598387638,39.384680171475694,54,15,68,"刘瑜负责,地址与联系方式: 澳门特别行政区深圳县沈北新重庆路E座 619093; duyang@example.net; 13705913564"
1A7385,2021-02-01,淮安鹏科考站,74.76557621082165,38.73290987831004,90,55,71,"王雷负责,地址与联系方式: 辽宁省峰县梁平叶路e座 234192; ojiang@example.net; 14573023166"
1A7499,2021-02-01,南京阳科考站,74.54934434763265,39.32463481008921,93,36,62,"刘丽娟负责,地址与联系方式: 海南省永安县江北陈街k座 834437; bfu@example.net; 13051828411"
1A59547,2021-02-01,长春浩科考站,76.31106463704542,40.622381633772164,148,17,61,"丁玉兰负责,地址与联系方式: 江西省桂花县房山福州路K座 864569; kye@example.net; 15702835843"
1A63773,2021-02-01,兴城军科考站,80.08139630764677,40.65406112718457,229,50,5,"高璐负责,地址与联系方式: 广西壮族自治区小红市沙湾哈尔滨路x座 526925; jing34@example.net; 18601099704"
1A51004,2021-02-01,海口鹏科考站,80.58606877356162,39.73629424584977,230,80,57,"苗梅负责,地址与联系方式: 吉林省拉萨县永川台北街u座 521536; xiulanjin@example.org; 13269241757"
1A45981,2021-02-01,西安斌科考站,82.33697108451717,36.48902025332341,237,186,36,"董琴负责,地址与联系方式: 黑龙江省凤兰县锡山尹街Q座 618124; daiyang@example.org; 13111566879"
1A50128,2021-02-01,拉萨波科考站,81.77192881242438,39.25682869541264,251,103,10,"吕秀英负责,地址与联系方式: 青海省萍市长寿史街B座 546142; jiehe@example.net; 15819433329"
1A190502,2021-02-01,荆门想科考站,86.40143473537674,29.725245063429664,282,408,63,"董荣负责,地址与联系方式: 广东省洁县高坪何街W座 841480; duanyong@example.com; 13812859784"
1A499785,2021-02-01,长春建国科考站,88.60526057768001,24.471837663678446,309,572,34,"孙平负责,地址与联系方式: 青海省建市丰都赵路B座 640420; moyong@example.org; 18995941662"
1A495870,2021-02-01,香港健科考站,89.2813185458408,22.75205972081444,319,625,35,"孙瑞负责,地址与联系方式: 福建省长春市江北许路q座 875311; chaowu@example.net; 15365008244"
1A507200,2021-02-01,辛集刚科考站,90.26995479376643,25.72734650038875,359,543,53,"王淑英负责,地址与联系方式: 北京市桂英市房山尹街l座 469210; yangwen@example.com; 15172968744"
1A493433,2021-02-01,乌鲁木齐辉科考站,90.65339260836693,23.945595553652,361,596,43,"李金凤负责,地址与联系方式: 重庆市建平市涪城台北路x座 629608; jie01@example.net; 18798548493"
1A492637,2021-02-01,太原建军科考站,91.03428021086992,23.68569407774811,370,605,42,"翟淑珍负责,地址与联系方式: 河北省大冶市翔安张街w座 178342; guiyingfeng@example.org; 13949630679"
1A492578,2021-02-01,兰州佳科考站,91.31351101207122,23.82713396449784,378,602,48,"杨成负责,地址与联系方式: 云南省张家港市蓟州北镇街n座 920103; yong55@example.net; 13279507261"
1A490265,2021-02-01,海口峰科考站,91.81015036485901,21.18371859564133,381,680,60,"王英负责,地址与联系方式: 台湾省凯市普陀齐齐哈尔路l座 779792; wzheng@example.org; 15053930921"
1A512962,2021-02-01,兴安盟帆科考站,91.56723996041403,23.895430238669473,385,601,17,"刘璐负责,地址与联系方式: 海南省通辽县南长邯郸街u座 578778; chengqiang@example.org; 18713201864"
1A508113,2021-02-01,太原阳科考站,91.31197728139233,26.575549429889904,390,523,31,"范凤英负责,地址与联系方式: 新疆维吾尔自治区惠州县长寿柳州街P座 297896; tao73@example.com; 13301509317"
1A180023,2021-02-01,潜江斌科考站,91.47356847738472,27.192120977390267,397,506,17,"蔡秀兰负责,地址与联系方式: 江苏省哈尔滨市江北海门路c座 974871; junsong@example.org; 13090589397"
